ResourceID,en-US,zh-TW,zh-CN,nl-NL,fr-FR,de-DE,it-IT,pl-PL,pt-BR,pt-PT,ru-RU,es-MX,es-ES,uk-UA,da-DK,cs-CZ,fi-FI,ja-JP,ko-KR,nb-NO,sv-SE,tr-TR,id-ID,th-TH,vi-VN
titlebar_restore,Restore,還原,还原,Vorig formaat,Restaurer,Wiederherstellen,Ripristina,Przywróć,Restaurar,Restaurar,Восстановить,Restaurar,Restaurar,Відновити,Gendan,Obnovit,Palauta,元のサイズに戻す,이전 크기로 복원,Gjenopprett,Återställ,Geri Yükle,Pulihkan,คืนค่า,Khôi phục
titlebar_close,Close,關閉,关闭,Sluiten,Fermer,Schließen,Chiudi,Zamknij,Fechar,Fechar,Закрыть,Cerrar,Cerrar,Закрити,Luk,Zavřít,Sulje,閉じる,닫기,Lukk,Stäng,Kapat,Tutup,ปิด,Đóng
pan_left,Scroll left,向左捲動,向左滚动,Naar links schuiven,Défiler vers la gauche,Nach links scrollen,Scorri a sinistra,Przewiń w lewo,Rolar para a esquerda,Deslocar para a esquerda,Прокрутить влево,Desplazar a la izquierda,Desplazar a la izquierda,Прокрутити ліворуч,Rul til venstre,Posunout doleva,Vieritä vasemmalle,左へスクロール,왼쪽으로 스크롤,Rull til venstre,Rulla åt vänster,Sola kaydır,Gulir ke kiri,เลื่อนไปทางซ้าย,Cuộn sang trái
pan_right,Scroll right,向右捲動,向右滚动,Naar rechts schuiven,Défiler vers la droite,Nach rechts scrollen,Scorri a destra,Przewiń w prawo,Rolar para a direita,Deslocar para a direita,Прокрутить вправо,Desplazar a la derecha,Desplazar a la derecha,Прокрутити праворуч,Rul til højre,Posunout doprava,Vieritä oikealle,右へスクロール,오른쪽으로 스크롤,Rull til høyre,Rulla åt höger,Sağa kaydır,Gulir ke kanan,เลื่อนไปทางขวา,Cuộn sang phải
settings_title,{ProductName} Settings,{ProductName} 設定,{ProductName} 设置,{ProductName} Instellingen,Paramètres de {ProductName},{ProductName}-Einstellungen,Impostazioni {ProductName},Ustawienia {ProductName},Configurações do {ProductName},Definições do {ProductName},Параметры {ProductName},Configuración de {ProductName},Configuración de {ProductName},Налаштування {ProductName},{ProductName} Indstillinger,Nastavení {ProductName},{ProductName}-asetukset,{ProductName} の設定,{ProductName} 설정,{ProductName}-innstillinger,{ProductName}-inställningar,{ProductName} Ayarları,Setelan {ProductName},การตั้งค่า {ProductName},Cài đặt {ProductName}
settings_appearance,Appearance,外觀,外观,Uiterlijk,Apparence,Darstellung,Aspetto,Wygląd,Aparência,Aspeto,Оформление,Apariencia,Apariencia,Вигляд,Udseende,Vzhled,Ulkoasu,外観,모양,Utseende,Utseende,Görünüm,Tampilan,ลักษณะที่ปรากฏ,Giao diện
settings_appearance_auto,Automatic,自動,自动,Automatisch,Automatique,Automatisch,Automatico,Automatycznie,Automático,Automático,Автоматически,Automático,Automático,Автоматично,Automatisk,Automaticky,Automaattinen,自動,자동,Automatisk,Automatisk,Otomatik,Otomatis,อัตโนมัติ,Tự động
settings_appearance_light,Light,淺色,浅色,Licht,Clair,Hell,Chiaro,Jasny,Claro,Claro,Светлая,Claro,Claro,Світла,Lys,Světlý,Vaalea,ライト,밝게,Lys,Ljus,Açık,Terang,สว่าง,Sáng
settings_appearance_dark,Dark,深色,深色,Donker,Sombre,Dunkel,Scuro,Ciemny,Escuro,Escuro,Темная,Oscuro,Oscuro,Темна,Mørk,Tmavý,Tumma,ダーク,어둡게,Mørk,Mörk,Koyu,Gelap,มืด,Tối
settings_notification,Windows notifications,Windows 通知,Windows 通知,Windows-meldingen,Notifications Windows,Windows-Benachrichtigungen,Notifiche di Windows,Powiadomienia systemu Windows,Notificações do Windows,Notificações do Windows,Уведомления Windows,Notificaciones de Windows,Notificaciones de Windows,Сповіщення Windows,Windows-meddelelser,Oznámení Windows,Windows-ilmoitukset,Windows の通知,Windows 알림,Windows-varsler,Windows-meddelanden,Windows bildirimleri,Notifikasi Windows,การแจ้งเตือนของ Windows,Thông báo của Windows
settings_telemetry,Send anonymous usage data,傳送匿名使用狀況資料,发送匿名使用数据,Anonieme gebruiksgegevens verzenden,Envoyer des données d'utilisation anonymes,Anonyme Nutzungsdaten senden,Invia dati di utilizzo anonimi,Wyślij anonimowe dane użytkowania,Enviar dados de uso anônimos,Enviar dados de utilização anónimos,Отправлять анонимные данные об использовании,Enviar datos de uso anónimos,Enviar datos de uso anónimos,Надсилати анонімні дані про використання,Send anonyme brugsdata,Odesílat anonymní data o využití,Lähetä nimettömiä käyttötietoja,匿名の利用状況データを送信する,익명의 사용 현황 데이터 보내기,Send anonyme bruksdata,Skicka anonyma användningsdata,Anonim kullanım verileri gönder,Kirim data penggunaan anonim,ส่งข้อมูลการใช้งานที่ไม่ระบุชื่อ,Gửi dữ liệu sử dụng ẩn danh
settings_version,Version {M.m.build},版本 {M.m.build},版本 {M.m.build},Versie {M.m.build},Version {M.m.build},Version {M.m.build},Versione {M.m.build},Wersja {M.m.build},Versão {M.m.build},Versão {M.m.build},Версия {M.m.build},Versión {M.m.build},Versión {M.m.build},Версія {M.m.build},Version {M.m.build},Verze {M.m.build},Versio {M.m.build},バージョン {M.m.build},버전 {M.m.build},Versjon {M.m.build},Version {M.m.build},Sürüm {M.m.build},Versi {M.m.build},เวอร์ชัน {M.m.build},Phiên bản {M.m.build}
metric_page_title_size,33,,,,,,,,,,,,,,,,,,,,,,,,
metric_page_subtitle_size,12,,,,,,,,,,,,,,,,,,,,,,,,
metric_feature_heading_size,22,,,,,,,,,,,,,,,,,,,,,,,,
metric_feature_body_size,14,,,,,,,,,,,,,,,,,,,,,,,,
metric_feature_body_width,375,,,,,,,,,,,,,,,,,,,,,,,,
metric_action_button_size,22,,,,,,,,,,,,,,,,,,,,,,,,
